record_id,city,country,continent,population,dev_status,grid_type,year,transport_mode,modal_share_pct,avg_trip_km,daily_trips_per_person,emission_factor_co2_kg_per_pkm,emission_factor_nox_kg_per_pkm,emission_factor_pm10_kg_per_pkm,energy_intensity_MJ_per_pkm,co2_emissions_tonnes,nox_emissions_tonnes,pm10_emissions_tonnes,energy_consumption_TJ
22,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2017,Rail,27.741,14.05,2,0.028309,1.002e-05,1.967e-06,0.21785,1667302.14,590.1433,115.84949,12.8306
23,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2017,Bicycle,2.88,5.35,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2017,Walk,5.792,2.87,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2018,Car,18.155,11.29,4,0.171224,0.00041425,5.3243e-05,2.27735,10606474.91,25660.7265,3298.13895,141.0705
26,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2018,Motorcycle,12.127,8.94,4,0.104959,0.00080314,8.0103e-05,1.40121,3439134.11,26316.0488,2624.69116,45.9127
27,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2018,ElectricCar,3.687,13.74,4,0.03763,1.369e-05,3.539e-06,0.35989,576116.62,209.5944,54.18221,5.5099
28,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2018,ElectricBike,2.771,7.05,4,0.005486,1.93e-06,5.45e-07,0.05278,32383.86,11.3928,3.21714,0.3116
29,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2018,Bus,28.702,10.29,4,0.086512,0.00113237,0.000112732,1.04333,7721939.56,101073.7551,10062.29992,93.1262
30,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2018,Rail,25.802,15.26,4,0.02757,9.63e-06,2.002e-06,0.19508,3280701.93,1145.9253,238.2287,23.2136
31,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2018,Bicycle,2.891,5.56,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2018,Walk,5.865,2.94,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2019,Car,18.296,13.36,2,0.181978,0.00042233,5.5586e-05,2.47566,6721678.75,15599.5043,2053.16706,91.4429
34,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2019,Motorcycle,11.559,8.56,2,0.113036,0.0007329,8.122e-05,1.45805,1690069.84,10958.0327,1214.36952,21.8002
35,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2019,ElectricCar,4.222,13.55,2,0.035777,1.342e-05,3.074e-06,0.37243,309256.96,116.0027,26.57171,3.2193
36,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2019,ElectricBike,3.221,7.23,2,0.005101,2.12e-06,5.66e-07,0.05126,17952.81,7.4613,1.99202,0.1804
37,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2019,Bus,26.927,10.32,2,0.081222,0.00103196,0.000106421,1.03765,3410600.59,43333.1287,4468.73415,43.5721
38,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2019,Rail,26.782,14.76,2,0.025164,9.96e-06,1.909e-06,0.19672,1503158.83,594.9556,114.03315,11.751
39,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2019,Bicycle,3.073,6.12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2019,Walk,5.919,2.56,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2020,Car,16.274,12.18,2,0.186873,0.00039241,5.8524e-05,2.2688,5597328.23,11753.6914,1752.94471,67.9564
42,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2020,Motorcycle,11.219,8.28,2,0.10192,0.00069219,7.849e-05,1.53886,1430678.03,9716.4543,1101.78491,21.6014
43,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2020,ElectricCar,4.927,13.32,2,0.034461,1.331e-05,3.189e-06,0.36883,341741.74,131.9922,31.62457,3.6576
44,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2020,ElectricBike,3.251,7.96,2,0.005358,2e-06,4.93e-07,0.05112,20952.24,7.8209,1.92786,0.1999
45,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2020,Bus,28.666,10.53,2,0.081653,0.00111267,0.000112587,1.00955,3724377.84,50751.393,5135.34749,46.0479
46,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2020,Rail,26.81,15.02,2,0.027273,1.013e-05,1.841e-06,0.18842,1659582.99,616.4183,112.02626,11.4655
47,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2020,Bicycle,3.071,5.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2020,Walk,5.783,2.72,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2021,Car,16.465,12.54,4,0.186653,0.00041307,5.2432e-05,2.37884,11647420.47,25776.1727,3271.83356,148.4431
50,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2021,Motorcycle,10.556,7.75,4,0.105813,0.00067804,7.6449e-05,1.59623,2616038.28,16763.3334,1890.0656,39.4639
51,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2021,ElectricCar,4.956,13.93,4,0.035769,1.106e-05,3.023e-06,0.36573,746228.75,230.7386,63.06717,7.63
52,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2021,ElectricBike,3.511,8.12,4,0.00526,1.72e-06,5.31e-07,0.05247,45322.91,14.8204,4.57537,0.4521
53,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2021,Bus,28.463,10.4,4,0.077625,0.00115487,9.7361e-05,1.07993,6944559.74,103318.051,8710.20007,96.6137
54,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2021,Rail,27.705,15.49,4,0.027036,9.81e-06,1.845e-06,0.20793,3506482.23,1272.3254,239.29056,26.9679
55,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2021,Bicycle,2.792,5.42,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2021,Walk,5.552,2.75,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2022,Car,17.835,12.05,2,0.182108,0.00038601,5.4148e-05,2.24374,5913944.19,12535.647,1758.4524,72.8653
58,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2022,Motorcycle,11.498,9.02,2,0.110074,0.00071301,7.2897e-05,1.44009,1725096.64,11174.4023,1142.45298,22.5693
59,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2022,ElectricCar,5.553,13.42,2,0.033479,1.257e-05,2.897e-06,0.34419,376974.18,141.5384,32.62027,3.8756
60,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2022,ElectricBike,3.974,7.67,2,0.00521,1.8e-06,3.93e-07,0.05111,23994.56,8.2899,1.80995,0.2354
61,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2022,Bus,26.007,10.6,2,0.085445,0.00108377,0.000110068,0.97454,3559386.34,45146.6573,4585.1078,40.5965
62,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2022,Rail,26.672,14.76,2,0.026778,9.23e-06,1.861e-06,0.19242,1593007.55,549.0873,110.7098,11.447
63,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2022,Bicycle,2.639,5.26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2022,Walk,5.823,3.08,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2023,Car,17.315,12.64,2,0.17636,0.00036506,5.1776e-05,2.2327,5832615.14,12073.3414,1712.3468,73.8403
66,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2023,Motorcycle,12.326,8.25,2,0.104782,0.0007318,6.8442e-05,1.481,1610171.78,11245.4783,1051.73958,22.7583
67,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2023,ElectricCar,5.646,14.06,2,0.03432,1.229e-05,2.879e-06,0.32432,411715.03,147.4352,34.53752,3.8907
68,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2023,ElectricBike,4.248,7.56,2,0.005161,1.92e-06,4.87e-07,0.05368,25044.62,9.3171,2.36325,0.2605
69,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2023,Bus,25.997,10.75,2,0.072985,0.00103936,9.8843e-05,1.01373,3082140.13,43891.9389,4174.11765,42.8096
70,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2023,Rail,25.734,14.87,2,0.025427,8.56e-06,1.691e-06,0.19104,1470298.83,494.9761,97.78092,11.0468
71,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2023,Bicycle,3.257,5.33,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2023,Walk,5.477,2.89,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2024,Car,16.923,12.33,2,0.184797,0.00037634,5.3072e-05,2.23387,5826803.72,11866.3144,1673.40448,70.4358
74,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2024,Motorcycle,11.55,8.98,2,0.102545,0.00069064,7.6166e-05,1.49474,1607153.54,10824.1701,1193.72428,23.4266
75,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2024,ElectricCar,5.503,13.42,2,0.034194,1.186e-05,2.856e-06,0.35256,381588.38,132.3518,31.87157,3.9344
76,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2024,ElectricBike,4.131,7.87,2,0.005043,1.69e-06,4.44e-07,0.05234,24775.72,8.3028,2.18132,0.2571
77,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2024,Bus,25.852,10.09,2,0.081346,0.00100755,9.719e-05,1.01373,3206436.78,39714.8646,3830.96391,39.9585
78,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2024,Rail,27.387,14.83,2,0.024098,8.29e-06,1.726e-06,0.19123,1478944.55,508.7746,105.92822,11.7362
79,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2024,Bicycle,3.075,5.64,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2024,Walk,5.579,2.84,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Delhi,India,Asia,32000000,Developing,Coal-heavy,2015,Car,21.527,12.49,4,0.195166,0.00044195,5.9744e-05,2.57712,24516474.14,55517.1277,7504.95594,323.7341
82,Delhi,India,Asia,32000000,Developing,Coal-heavy,2015,Motorcycle,13.485,8.69,4,0.110395,0.0007781,8.7358e-05,1.68397,6043779.91,42598.5339,4782.57644,92.1921
83,Delhi,India,Asia,32000000,Developing,Coal-heavy,2015,ElectricCar,1.982,13.82,4,0.039235,1.306e-05,3.461e-06,0.383,502034.81,167.1104,44.28552,4.9007
84,Delhi,India,Asia,32000000,Developing,Coal-heavy,2015,ElectricBike,2.134,8.16,4,0.005631,2.11e-06,4.8e-07,0.0562,45817.3,17.1683,3.90558,0.4573
85,Delhi,India,Asia,32000000,Developing,Coal-heavy,2015,Bus,27.256,10.79,4,0.085401,0.00122746,0.00010839,1.06784,11734268.29,168655.4602,14893.00289,146.7234
86,Delhi,India,Asia,32000000,Developing,Coal-heavy,2015,Rail,19.322,14.6,4,0.0278,9.39e-06,2.288e-06,0.19611,3663945.55,1237.5701,301.55063,25.8466
87,Delhi,India,Asia,32000000,Developing,Coal-heavy,2015,Bicycle,4.243,5.51,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Delhi,India,Asia,32000000,Developing,Coal-heavy,2015,Walk,10.051,2.98,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Delhi,India,Asia,32000000,Developing,Coal-heavy,2016,Car,21.901,12.84,2,0.185735,0.00046592,5.534e-05,2.45767,12201189.27,30606.9298,3635.36121,161.4477
90,Delhi,India,Asia,32000000,Developing,Coal-heavy,2016,Motorcycle,15.12,8.6,2,0.112486,0.00075936,7.9928e-05,1.40968,3416890.14,23066.4233,2427.90387,42.8206
91,Delhi,India,Asia,32000000,Developing,Coal-heavy,2016,ElectricCar,2.304,14.21,2,0.036742,1.427e-05,3.366e-06,0.39594,280976.62,109.1268,25.74077,3.0279
92,Delhi,India,Asia,32000000,Developing,Coal-heavy,2016,ElectricBike,2.263,7.15,2,0.00524,1.72e-06,5.45e-07,0.05444,19804.09,6.5006,2.05978,0.2058
93,Delhi,India,Asia,32000000,Developing,Coal-heavy,2016,Bus,24.123,11.02,2,0.082928,0.00115839,0.000119682,1.08266,5149660.22,71933.6642,7432.00891,67.231
94,Delhi,India,Asia,32000000,Developing,Coal-heavy,2016,Rail,19.715,15.34,2,0.028323,1.183e-05,2.112e-06,0.21348,2000924.45,835.7496,149.20568,15.0816
95,Delhi,India,Asia,32000000,Developing,Coal-heavy,2016,Bicycle,4.205,5.9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Delhi,India,Asia,32000000,Developing,Coal-heavy,2016,Walk,10.37,3.07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Delhi,India,Asia,32000000,Developing,Coal-heavy,2017,Car,22.362,12.81,3,0.181983,0.00043354,5.9806e-05,2.4368,18266279.2,43515.9475,6002.94035,244.5903
98,Delhi,India,Asia,32000000,Developing,Coal-heavy,2017,Motorcycle,14.476,8.85,3,0.102156,0.00076667,8.701e-05,1.62628,4585868.29,34416.4576,3905.95168,73.0051
99,Delhi,India,Asia,32000000,Developing,Coal-heavy,2017,ElectricCar,2.275,13.24,3,0.036031,1.315e-05,3.405e-06,0.40155,380333.38,138.8078,35.94225,4.2387
100,Delhi,India,Asia,32000000,Developing,Coal-heavy,2017,ElectricBike,2.768,7.63,3,0.005425,1.89e-06,5.67e-07,0.05602,40145.04,13.986,4.1958,0.4145
101,Delhi,India,Asia,32000000,Developing,Coal-heavy,2017,Bus,24.248,10.45,3,0.087427,0.00127344,0.00011562,1.10529,7762516.45,113066.8894,10265.732,98.1371
102,Delhi,India,Asia,32000000,Developing,Coal-heavy,2017,Rail,19.567,14.86,3,0.028179,1.039e-05,2.011e-06,0.21289,2871002.2,1058.5795,204.88965,21.6902
103,Delhi,India,Asia,32000000,Developing,Coal-heavy,2017,Bicycle,4.336,5.79,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Delhi,India,Asia,32000000,Developing,Coal-heavy,2017,Walk,9.968,2.77,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Delhi,India,Asia,32000000,Developing,Coal-heavy,2018,Car,21.621,11.94,3,0.185823,0.00042793,5.8156e-05,2.38151,16809031.35,38709.3567,5260.62989,215.4248
106,Delhi,India,Asia,32000000,Developing,Coal-heavy,2018,Motorcycle,15.3,8.12,3,0.102457,0.00073819,8.5002e-05,1.59419,4460202.77,32135.2088,3700.34411,69.399
107,Delhi,India,Asia,32000000,Developing,Coal-heavy,2018,ElectricCar,2.456,13.83,3,0.034,1.257e-05,3.392e-06,0.38058,404593.42,149.5806,40.36414,4.5288
108,Delhi,India,Asia,32000000,Developing,Coal-heavy,2018,ElectricBike,3.102,7.87,3,0.005497,2.09e-06,5.35e-07,0.05255,47024.68,17.8791,4.57672,0.4495
109,Delhi,India,Asia,32000000,Developing,Coal-heavy,2018,Bus,24.202,11.2,3,0.086002,0.00117004,0.000118736,1.10106,8168441.72,111130.015,11277.5063,104.5783
110,Delhi,India,Asia,32000000,Developing,Coal-heavy,2018,Rail,20.123,14.84,3,0.027157,9.57e-06,1.876e-06,0.21155,2841641.99,1001.3814,196.30005,22.1361
111,Delhi,India,Asia,32000000,Developing,Coal-heavy,2018,Bicycle,3.626,5.49,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Delhi,India,Asia,32000000,Developing,Coal-heavy,2018,Walk,9.571,2.74,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Delhi,India,Asia,32000000,Developing,Coal-heavy,2019,Car,22.284,11.84,3,0.191276,0.00039823,5.4312e-05,2.26332,17683179.28,36815.7661,5021.06293,209.2405
114,Delhi,India,Asia,32000000,Developing,Coal-heavy,2019,Motorcycle,14.996,8.02,3,0.106584,0.00082539,8.7395e-05,1.52947,4491535.14,34782.5958,3682.89531,64.4531
115,Delhi,India,Asia,32000000,Developing,Coal-heavy,2019,ElectricCar,3.158,14.39,3,0.035992,1.354e-05,3.13e-06,0.36538,573083.92,215.5911,49.83754,5.8178
116,Delhi,India,Asia,32000000,Developing,Coal-heavy,2019,ElectricBike,3.153,7.84,3,0.005532,2.05e-06,4.98e-07,0.05861,47921.68,17.7584,4.31399,0.5077
117,Delhi,India,Asia,32000000,Developing,Coal-heavy,2019,Bus,22.576,10.44,3,0.085343,0.00103518,9.4166e-05,1.13278,7048228.87,85492.4898,7776.89464,93.553
118,Delhi,India,Asia,32000000,Developing,Coal-heavy,2019,Rail,19.908,15.76,3,0.026226,9.04e-06,2.07e-06,0.19819,2883248.56,993.8445,227.57281,21.7887
119,Delhi,India,Asia,32000000,Developing,Coal-heavy,2019,Bicycle,4.118,5.51,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Delhi,India,Asia,32000000,Developing,Coal-heavy,2019,Walk,9.808,2.92,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Delhi,India,Asia,32000000,Developing,Coal-heavy,2020,Car,20.344,12.44,2,0.179884,0.00042058,5.2347e-05,2.34864,10634752.48,24864.7139,3094.75767,138.8517
122,Delhi,India,Asia,32000000,Developing,Coal-heavy,2020,Motorcycle,15.151,8.63,2,0.09848,0.00074649,8.653e-05,1.48382,3008049.46,22801.3692,2643.0394,45.3229
123,Delhi,India,Asia,32000000,Developing,Coal-heavy,2020,ElectricCar,3.112,14.17,2,0.036131,1.384e-05,3.133e-06,0.36167,372141.06,142.5488,32.26919,3.7251
124,Delhi,India,Asia,32000000,Developing,Coal-heavy,2020,ElectricBike,3.602,7.61,2,0.005382,1.92e-06,5.03e-07,0.05282,34465.68,12.2954,3.22115,0.3383
125,Delhi,India,Asia,32000000,Developing,Coal-heavy,2020,Bus,22.696,10.78,2,0.087095,0.00101709,0.000110392,1.11246,4977870.88,58131.2669,6309.39918,63.5821
126,Delhi,India,Asia,32000000,Developing,Coal-heavy,2020,Rail,20.789,14.65,2,0.026346,9.38e-06,1.844e-06,0.19557,1874340.49,667.3238,131.18818,13.9135
127,Delhi,India,Asia,32000000,Developing,Coal-heavy,2020,Bicycle,3.674,5.95,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Delhi,India,Asia,32000000,Developing,Coal-heavy,2020,Walk,10.631,3.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Delhi,India,Asia,32000000,Developing,Coal-heavy,2021,Car,21.781,12.63,4,0.184105,0.00037798,5.6667e-05,2.35689,23661815.55,48579.3055,7283.04012,302.9157
130,Delhi,India,Asia,32000000,Developing,Coal-heavy,2021,Motorcycle,13.812,8.35,4,0.099092,0.00077474,7.8764e-05,1.48971,5339272.86,41744.5228,4243.96003,80.2685
131,Delhi,India,Asia,32000000,Developing,Coal-heavy,2021,ElectricCar,3.358,13.14,4,0.036442,1.208e-05,3.052e-06,0.34318,751162.1,248.9995,62.90947,7.0738
132,Delhi,India,Asia,32000000,Developing,Coal-heavy,2021,ElectricBike,3.657,7.86,4,0.005233,1.94e-06,5.09e-07,0.05088,70278.98,26.0541,6.83585,0.6833
133,Delhi,India,Asia,32000000,Developing,Coal-heavy,2021,Bus,25.375,9.53,4,0.087244,0.00111433,0.000104196,1.0594,9856842.11,125897.1948,11772.08198,119.6912
134,Delhi,India,Asia,32000000,Developing,Coal-heavy,2021,Rail,17.865,14.63,4,0.02809,9.25e-06,1.875e-06,0.21439,3430039.79,1129.5076,228.95424,26.1789
135,Delhi,India,Asia,32000000,Developing,Coal-heavy,2021,Bicycle,3.797,5.88,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Delhi,India,Asia,32000000,Developing,Coal-heavy,2021,Walk,10.355,2.8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Delhi,India,Asia,32000000,Developing,Coal-heavy,2022,Car,22.258,13.27,2,0.174862,0.000362,5.2713e-05,2.24411,12065196.27,24977.4168,3637.11207,154.84
138,Delhi,India,Asia,32000000,Developing,Coal-heavy,2022,Motorcycle,14.402,8.67,2,0.100238,0.00067627,8.1468e-05,1.5519,2923876.99,19726.3542,2376.36835,45.2679
139,Delhi,India,Asia,32000000,Developing,Coal-heavy,2022,ElectricCar,3.533,12.94,2,0.033688,1.131e-05,2.842e-06,0.34154,359737.49,120.7739,30.34831,3.6471
140,Delhi,India,Asia,32000000,Developing,Coal-heavy,2022,ElectricBike,4.058,7.7,2,0.005146,1.75e-06,4.67e-07,0.05399,37561.14,12.7734,3.40868,0.3941
141,Delhi,India,Asia,32000000,Developing,Coal-heavy,2022,Bus,22.895,10.16,2,0.089049,0.00104233,0.00010063,1.09112,4838700.21,56637.6084,5467.98282,59.2887
142,Delhi,India,Asia,32000000,Developing,Coal-heavy,2022,Rail,19.672,14.47,2,0.026375,8.74e-06,1.974e-06,0.19314,1753823.47,581.1722,131.26247,12.843
143,Delhi,India,Asia,32000000,Developing,Coal-heavy,2022,Bicycle,3.953,5.79,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Delhi,India,Asia,32000000,Developing,Coal-heavy,2022,Walk,9.229,2.91,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Delhi,India,Asia,32000000,Developing,Coal-heavy,2023,Car,21.227,13.34,2,0.169307,0.00040556,5.0249e-05,2.36824,11199218.66,26826.7415,3323.84094,156.6529
146,Delhi,India,Asia,32000000,Developing,Coal-heavy,2023,Motorcycle,14.376,8.36,2,0.099507,0.0007707,7.3793e-05,1.44913,2793606.29,21636.994,2071.69937,40.6836
147,Delhi,India,Asia,32000000,Developing,Coal-heavy,2023,ElectricCar,3.972,12.87,2,0.032389,1.244e-05,3.093e-06,0.34574,386738.71,148.539,36.93176,4.1283
148,Delhi,India,Asia,32000000,Developing,Coal-heavy,2023,ElectricBike,4.284,7.7,2,0.004928,1.7e-06,4.42e-07,0.05007,37972.69,13.0993,3.40583,0.3858
149,Delhi,India,Asia,32000000,Developing,Coal-heavy,2023,Bus,22.36,10.07,2,0.076088,0.00089491,0.000102382,1.04843,4002137.3,47071.1898,5385.17008,55.1462
150,Delhi,India,Asia,32000000,Developing,Coal-heavy,2023,Rail,20.059,14.26,2,0.026578,9.35e-06,1.601e-06,0.20421,1775928.6,624.7623,106.97801,13.6452
151,Delhi,India,Asia,32000000,Developing,Coal-heavy,2023,Bicycle,3.788,5.6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Delhi,India,Asia,32000000,Developing,Coal-heavy,2023,Walk,9.934,2.97,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
